WP Title,Result type (outcome or output),Result Short title,Result Statement,Result Type,Responsible Organization,Partners,Outcome actor type,Outcome actor type of change,Outcome: Is actor a partner?,Qualitative: minimum level of success,Qualitative: moderate level of success,Qualitative: maximum level of success,Location,Country,Region,Indicator,Type,Unit of measurement,Data source,Data collection method,Data collection frequency,Location.1,Country.1,Region.1,Baseline value,Baseline date,Target value,Target date,Source_File,Function Title,Module Title,Topic
Work Package 3 Policy Pathways: Developing adaptation instruments to inform policy and investments ,OUTCOME,"3.1 An integrated assessment framework for policy and investment pathways is used by policymakers in Zambia to strengthen policies whose aim is to build systemic resilience against climate. The key stakeholders involved in developing and using integrated assessments to address policy-relevant questions have the skills, knowledge, values, incentives and motivation to represent different groups of farmers, taking inequality and vulnerability into account.","3.1 An integrated assessment framework for policy and investment pathways is used by policymakers in Zambia to strengthen policies whose aim is to build systemic resilience against climate. The key stakeholders involved in developing and using integrated assessments to address policy-relevant questions have the skills, knowledge, values, incentives and motivation to represent different groups of farmers, taking inequality and vulnerability into account.",Other,,,,,Yes,,,,country,Zambia,,Number of policies,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,,,,country,,,0,02/01/2022,1,01/01/2025,INIT-23 - ClimBeR_ Building Systemic Resilience Against Climate Variability and Extremes.xlsx,,,6
Work Package 3 Policy Pathways: Developing adaptation instruments to inform policy and investments ,OUTCOME,"3.2 Policymakers, the private sector, and civil society leaders use policy pathways to increase funding and support the upscaling of disruptive initiatives to transform agrifood systems of the most climate vulnerable populations in Guatemala.","3.2 Policymakers, the private sector, and civil society leaders use policy pathways to increase funding and support the upscaling of disruptive initiatives to transform agrifood systems of the most climate vulnerable populations in Guatemala.",Other,,,,,Yes,,,,country,Guatemala,,Number of Disruptive Seeds organization receiving bundled climate services,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,,,,country,,,0,31/01/2022,8,01/01/2025,INIT-23 - ClimBeR_ Building Systemic Resilience Against Climate Variability and Extremes.xlsx,,,2
Work Package 3 Policy Pathways: Developing adaptation instruments to inform policy and investments ,OUTCOME,"3.2 Policymakers, the private sector, and civil society leaders use policy pathways to increase funding and support the upscaling of disruptive initiatives to transform agrifood systems of the most climate vulnerable populations in Guatemala.","3.2 Policymakers, the private sector, and civil society leaders use policy pathways to increase funding and support the upscaling of disruptive initiatives to transform agrifood systems of the most climate vulnerable populations in Guatemala.",Other,,,,,Yes,,,,country,Guatemala,,Number of action plans based on transformation pathways created by partners to inform policy change,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,,,,country,,,0,31/01/2022,2,01/01/2025,INIT-23 - ClimBeR_ Building Systemic Resilience Against Climate Variability and Extremes.xlsx,,,12
Work Package 3 Policy Pathways: Developing adaptation instruments to inform policy and investments ,OUTCOME,"3.2 Policymakers, the private sector, and civil society leaders use policy pathways to increase funding and support the upscaling of disruptive initiatives to transform agrifood systems of the most climate vulnerable populations in Guatemala.","3.2 Policymakers, the private sector, and civil society leaders use policy pathways to increase funding and support the upscaling of disruptive initiatives to transform agrifood systems of the most climate vulnerable populations in Guatemala.",Other,,,,,Yes,,,,country,Guatemala,,Number of policies,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,,,,country,,,0,02/01/2022,1,01/01/2025,INIT-23 - ClimBeR_ Building Systemic Resilience Against Climate Variability and Extremes.xlsx,,,6
Work Package 3 Policy Pathways: Developing adaptation instruments to inform policy and investments ,OUTCOME,"3.3 Using the systemic solutions provided by ClimBeR, agrifood systems in Morocco and Senegal become more climate resilient and productive across scales (from on-farm climate resilience to national scale climate resilience and towards national policy guidance). ","3.3 Using the systemic solutions provided by ClimBeR, agrifood systems in Morocco and Senegal become more climate resilient and productive across scales (from on-farm climate resilience to national scale climate resilience and towards national policy guidance). ",Other,,,,,Yes,,,,country,"Senegal, Morocco",,Number of policies modified in design or implementation,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,,,,country,,,0,02/01/2022,2,01/01/2025,INIT-23 - ClimBeR_ Building Systemic Resilience Against Climate Variability and Extremes.xlsx,,,6
Work Package 3 Policy Pathways: Developing adaptation instruments to inform policy and investments ,OUTCOME,"3.4 Kenyan policymakers use a new integrated scenario framework that draws on, and iteratively refines in a gender and socially equitable fashion, the top-down, bottom-up and cross-scale methods from other outputs.","3.4 Kenyan policymakers use a new integrated scenario framework that draws on, and iteratively refines in a gender and socially equitable fashion, the top-down, bottom-up and cross-scale methods from other outputs.",Other,,,,,Yes,,,,country,Kenya,,Number of policies,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,,,,country,,,0,02/01/2022,1,01/01/2025,INIT-23 - ClimBeR_ Building Systemic Resilience Against Climate Variability and Extremes.xlsx,,,6
Work Package 3 Policy Pathways: Developing adaptation instruments to inform policy and investments ,OUTCOME,"3.5 Partners develop and submit climate finance proposals to the Green Climate Fund under the CGIAR accreditation for the Horn of Africa/East Africa region through government-led design guaranteeing the reduction in transboundary effects from maladaptation, and socially equitable access to adaptation development and finance.","3.5 Partners develop and submit climate finance proposals to the Green Climate Fund under the CGIAR accreditation for the Horn of Africa/East Africa region through government-led design guaranteeing the reduction in transboundary effects from maladaptation, and socially equitable access to adaptation development and finance.",Other,,"African Group of Negotiators Expert Support, Ministry of Agriculture and Livestock Development (Kenya), Global Green Growth Institute",,,Yes,,,,global,,,GCF concept notes/proposals approved,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,,,,regional,,,0,31/01/2022,1,01/01/2025,INIT-23 - ClimBeR_ Building Systemic Resilience Against Climate Variability and Extremes.xlsx,,,-1
Work Package 4 Governance4Resilience: Multiscale governance for transformative adaptation ,OUTCOME,4.1 National governments use integrated frameworks to reform policies and investment priorities to achieve transformative adaptation.,4.1 National governments use integrated frameworks to reform policies and investment priorities to achieve transformative adaptation.,Innovation,,"Water Resources Management Authority, Ministry of Agriculture (Zambia), Ministry of Green Economy and Environment, Zambia",,,Yes,,,,global,,,Number of policies/investments adapted,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,,,,global,,,0,02/02/2022,1,01/01/2025,INIT-23 - ClimBeR_ Building Systemic Resilience Against Climate Variability and Extremes.xlsx,,,12
Work Package 4 Governance4Resilience: Multiscale governance for transformative adaptation ,OUTCOME,"4.2 National governments, humanitarian, and development partners use dashboard and platform to inform new targeted investments in agricultural transformation. Governance and participation at multiple levels of decision-making ensure fair distribution of benefits.","4.2 National governments, humanitarian, and development partners use dashboard and platform to inform new targeted investments in agricultural transformation. Governance and participation at multiple levels of decision-making ensure fair distribution of benefits.",Innovation,,"Ministry of Agriculture (Zambia), Water Resources Management Authority, Ministry of Green Economy and Environment, Zambia",,,Yes,,,,global,,,Number of new investments,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,,,,global,,,0,02/02/2022,1,01/01/2025,INIT-23 - ClimBeR_ Building Systemic Resilience Against Climate Variability and Extremes.xlsx,,,0
Work Package 4 Governance4Resilience: Multiscale governance for transformative adaptation ,OUTCOME,"4.3 CGIAR researchers and partners train 10 institutions to become multiscale ""champions of change"" in three countries.","4.3 CGIAR researchers and partners train 10 institutions to become multiscale ""champions of change"" in three countries.",Capacity,,Regional Universities Forum for Capacity Building in Agriculture,,,Yes,,,,global,,,Number of institutions trained,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,,,,global,,,0,02/01/2022,10,01/01/2025,INIT-23 - ClimBeR_ Building Systemic Resilience Against Climate Variability and Extremes.xlsx,,,1
Work Package 1 MITIGATE+ STRATEGY: Planning for food systems transformation  ,OUTCOME,1.1 Global and national government agencies,"1.1 At least two Governments, civil society and private sector partners are using CGIAR science to design inclusive, Food System (FS) emissions reduction programs
",Capacity,,,,,Yes,,,,country,"The Socialist Republic of Viet Nam, China, Kenya, Colombia",,"Numbers of laws, policies, regulations or strategies","Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number of laws,"National reports, legal repositories, rBUR, NDCs and other national reporting to UNFCCC",Country coordinators and country partners collecting from desk search,Annual,country,,,0,01/01/2022,"3
 0
 0","01/01/2025
 01/01/2024
 01/01/2023",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,12
"Work Package 2 MITIGATE+ EVIDENCE: Data, evidence, and tools for food systems transformation ",OUTCOME,2.1  Use of CGIAR food systems emission data in policy making and reporting on GHG emission reduction,"2.1Decisionmakers such as policymakers, Integrated Assessment Model (IAM) teams, and international development organizations use CGIAR food system emissions data, evidence/knowledge, methods, and tools to inform at least ten pieces of legislation, strategic plans, or country reports on Greenhouse Gas (GHG) emission reduction.",Uptake of information product,,,,,Yes,,,,country,"Colombia, China, Kenya, The Socialist Republic of Viet Nam",,Number of improved strategies,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number of strategies,Project documents,Project records,Annually,country,,,0,01/01/2022,"0
 5
 10","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,-1
"Work Package 2 MITIGATE+ EVIDENCE: Data, evidence, and tools for food systems transformation ",OUTCOME,"2.2  Improved capacity of governments, civil society and private sector partners","2.2 Governments, civil society and private sector partners have improved capacity for better Greenhouse Gas (GHG) inventory, mitigation planning and implementation, and Measuring, reporting, verification (MRV) systems.  ",Capacity,,,,,Yes,,,,country,"The Socialist Republic of Viet Nam, China, Colombia, Kenya",,Number of partners with improved capacity,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number of partners,Project documents,Project records,Annually,country,,,0,01/01/2022,"0
 4
 8","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,26
Work Package 3 MITIGATE+ LIVING LABS for people,OUTCOME,3.1 Living Labs stakeholders,"3.1 Living Labs stakeholders have increased capacity and the necessary information to assess, plan, solutions for sustainable food system transformation that delivers mitigate benefit among other Sustainable Development Goals (SDG) outcomes.",Capacity,,,,,Yes,,,,country,"Colombia, The Socialist Republic of Viet Nam, Kenya, China",,Number of information materials and knowledge products disseminated,Number of information materials and knowledge products disseminated,Number of information materials and knowledge products,"Communication products (Blogs, publications, working papers, posters etc.)",Project documents,Annually,global,,,0,01/01/2022,"0
 2
 2","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,1
Work Package 3 MITIGATE+ LIVING LABS for people,OUTCOME,3.1 Living Labs stakeholders,"3.1 Living Labs stakeholders have increased capacity and the necessary information to assess, plan, solutions for sustainable food system transformation that delivers mitigate benefit among other Sustainable Development Goals (SDG) outcomes.",Capacity,,,,,Yes,,,,country,"Colombia, The Socialist Republic of Viet Nam, Kenya, China",,Number of training workshops or learning events,Number of training workshops or learning events,Number of training workshops or learning events,Training data records,"Project records, attendande at training workshops ",Quarterly,country,,,0,31/12/2021,"1
 7
 8","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,1
Work Package 3 MITIGATE+ LIVING LABS for people,OUTCOME,3.1 Living Labs stakeholders,"3.1 Living Labs stakeholders have increased capacity and the necessary information to assess, plan, solutions for sustainable food system transformation that delivers mitigate benefit among other Sustainable Development Goals (SDG) outcomes.",Capacity,,,,,Yes,,,,country,"Colombia, The Socialist Republic of Viet Nam, Kenya, China",,"Percentage of stakeholders with increased capacity to assess, plan, and implement solutions for sustainable Food System transformation.","Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Percentage,Project data collection,Project Documents,Annually,country,,,0,01/01/2022,"0
 25
 25","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,22
Work Package 3 MITIGATE+ LIVING LABS for people,OUTCOME,3.2   Living Lab for People (LL4P) stakeholders engage in co-ownership of the Living Labs,"3.2 Living Labs for People (LL4P) stakeholders engage in co-ownership of the Living Labs and co-production of knowledge 

",Capacity,,,,,Yes,,,,country,"The Socialist Republic of Viet Nam, Colombia, China, Kenya",,Number of meetings where stakeholders participate,Number of meetings where stakeholders participate,Number of meetings,Monitoring data,Project documents,Annually,global,,,0,01/01/2022,"0
 4
 8","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,4
Work Package 3 MITIGATE+ LIVING LABS for people,OUTCOME,3.2   Living Lab for People (LL4P) stakeholders engage in co-ownership of the Living Labs,"3.2 Living Labs for People (LL4P) stakeholders engage in co-ownership of the Living Labs and co-production of knowledge 

",Capacity,,,,,Yes,,,,country,"The Socialist Republic of Viet Nam, Colombia, China, Kenya",,Number of stakeholders involved in the development of innovation cases,Number of stakeholders involved in the development of innovation cases,Number of stakeholders,Monitoring data,Project documents,Annually,global,,,0,01/01/2022,"0
 10
 20","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,4
Work Package 3 MITIGATE+ LIVING LABS for people,OUTCOME,3.2   Living Lab for People (LL4P) stakeholders engage in co-ownership of the Living Labs,"3.2 Living Labs for People (LL4P) stakeholders engage in co-ownership of the Living Labs and co-production of knowledge 

",Capacity,,,,,Yes,,,,country,"The Socialist Republic of Viet Nam, Colombia, China, Kenya",,Number of non-CGIAR stakeholders facilitating the implementation of the LL4P framework,Number of non-CGIAR stakeholders facilitating the implementation of the LL4P framework,Number of non-CGIAR stakeholders,TORs,Project documents,Annually,global,,,0,01/01/2022,"0
 4
 4","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,4
Work Package 3 MITIGATE+ LIVING LABS for people,OUTCOME,3.2   Living Lab for People (LL4P) stakeholders engage in co-ownership of the Living Labs,"3.2 Living Labs for People (LL4P) stakeholders engage in co-ownership of the Living Labs and co-production of knowledge 

",Capacity,,,,,Yes,,,,country,"The Socialist Republic of Viet Nam, Colombia, China, Kenya",,Number of stakeholders participating in LL4P,Number of stakeholders participating in LL4P,Number of stakeholders,Monitoring data,Project documents,Annually,global,,,0,01/01/2022,"0
 20
 20","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,4
Work Package 3 MITIGATE+ LIVING LABS for people,OUTCOME,3.3  Living Labs stakeholders establish or build on existing governance frameworks,"3.3  Living Labs for People (LL4P) stakeholders establish or build on existing governance frameworks (e.g., Multi-Stakeholder Platform (MSP)) embedded within national/regional governance structures to ensure inclusive and equitable sustainable Food System (FS) transformation",Capacity,,,,,Yes,,,,country,"Colombia, China, Kenya, The Socialist Republic of Viet Nam",,Number of innovations cases selected that come from women and other minority groups,Number of innovations cases selected that come from women and other minority groups,Number of innovations cases,Monitoring data,Project documents,Annually,global,,,0,01/01/2022,"0
 0
 2","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,19
Work Package 3 MITIGATE+ LIVING LABS for people,OUTCOME,3.3  Living Labs stakeholders establish or build on existing governance frameworks,"3.3  Living Labs for People (LL4P) stakeholders establish or build on existing governance frameworks (e.g., Multi-Stakeholder Platform (MSP)) embedded within national/regional governance structures to ensure inclusive and equitable sustainable Food System (FS) transformation",Capacity,,,,,Yes,,,,country,"Colombia, China, Kenya, The Socialist Republic of Viet Nam",,Number of minority groups representatives holding official positions or involved in decision making within governance frameworks ,Number of minority groups representatives holding official positions or involved in decision making within governance frameworks ,Number of minority groups,Monitoring data,Project documents,Annually,global,,,0,01/01/2022,"0
 6
 12","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,4
Work Package 3 MITIGATE+ LIVING LABS for people,OUTCOME,3.3  Living Labs stakeholders establish or build on existing governance frameworks,"3.3  Living Labs for People (LL4P) stakeholders establish or build on existing governance frameworks (e.g., Multi-Stakeholder Platform (MSP)) embedded within national/regional governance structures to ensure inclusive and equitable sustainable Food System (FS) transformation",Capacity,,,,,Yes,,,,country,"Colombia, China, Kenya, The Socialist Republic of Viet Nam",,Number of established or adapted governance frameworks,Number of established or adapted governance frameworks that ensure inclusive and equitable sustainable food system transformation,Number of living labs,Governance frameworks,Project records,Annuall,country,,,0,01/01/2022,"0
 4
 3","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,-1
Work Package 3 MITIGATE+ LIVING LABS for people,OUTCOME,"3.4  Women, youth, and other marginalized groups","3.4  Women, youth, and other marginalized groups participate in the development of sustainable food system transformation solutions",Capacity,,,,,Yes,,,,country,"The Socialist Republic of Viet Nam, China, Colombia, Kenya",,"Percentage of innovation cases submitted by women, youth and other marginalized groups","Percentage of innovation cases submitted by women, youth and other marginalized groups",Percentage of innovation cases submitted,"Project data collection, participant lists",Project Documents,Annually,country,,,0,01/01/2022,"0
 25
 25","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,19
Work Package 4 MITIGATE+ SCALING: Scaling low-emissions food systems  ,OUTCOME,4.1  State-of-the-art analytics,"4.1 Researchers, economists, policymakers, or other stakeholders use state-of-the-art analytics, tools, and evidence to identify and scale CGIAR technologies and innovations with the highest potential to transform food systems from Greenhouse Gas (GHG) sources to carbon sinks while simultaneously delivering sustainable development co-benefits, such as poverty reduction, environmental protection (conservation), and conflict resolution in their respective geographies.",Innovation,,,,,Yes,,,,country,"Colombia, The Socialist Republic of Viet Nam, Kenya, China",,Number of partners implementing strategies for scaling up and out the technologies o innovations,Number of partners implementing strategies for scaling up and out the technologies o innovations,Number of partners ,Project data collection,Field and stakeholder surveys,Annually,country,,,0,01/01/2022,"0
 0
 2","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,8
Work Package 5 MITIGATE+ ENGAGE: Engagement and agenda transformation ,OUTCOME,5.1  Policymakers and practitioner communities active,"5.1 Policymakers and practitioner communities active in Food System (FS) development at national and subnational Living Labs (LL) scales are equipped with the information, analysis, and tools they need to ensure effective and cost-efficient reduction of Food System (FS) Greenhouse Gas emissions (GHGE) in line with generation of equitable impacts and co-benefits.         ",Capacity,,,,,Yes,,,,country,"Kenya, China, The Socialist Republic of Viet Nam, Colombia",,Number of FS side events at UNFCCC meetings,Number of FS side events at UNFCCC meetings,Number,UNFCCC side event agenda,Reading UNFCCC side event agenda,Annually,global,,,0,01/01/2022,"0
 0
 5","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,16
Work Package 5 MITIGATE+ ENGAGE: Engagement and agenda transformation ,OUTCOME,"5.2  Policymakers, stakeholders, and decision-makers involved in global-level climate mitigation","5.2 Policymakers, stakeholders, and decision-makers involved in global-level climate mitigation and adaptation policy (such as the United Nations Framework Convention on Climate Change (UNFCCC), United Nations Food Systems (UNFS), and post-Aichi dialogues) use evidence, learning, and best practices emerging from national and subnational-level mitigation implementation efforts to inform and shape future climate mitigation policy and implementation.",Capacity,,,,,Yes,,,,country,"Kenya, China, The Socialist Republic of Viet Nam, Colombia",,Number of countries identifying food system actions in national mitigation plans,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number of countries ,Next generation NDCs,NDC survey,Annually,country,,,0,01/01/2022,"0
 0
 4","01/01/2023
 01/01/2024
 01/01/2025",INIT-32 - Mitigate+_ Research for Low-Emission Food Systems.xlsx,,,7
,OUTCOME,Community(ies) of Practice actively engage and collaborate with CGIAR community(ies) and partners ,"Community(ies) of Practice actively engage and collaborate with CGIAR community(ies) and partners towards amplifying impacts and outcomes in the areas of nutrition, health and food security",Capacity,,,,,Yes,At least five (5) policy recommendation/ innovation/ capacity building engagements adopting/referring to outputs from Community(ies) of Practice by 2030,At least ten (10) policy recommendation/ innovation/ capacity building engagements adopting/referring to outputs from Community(ies) of Practice by 2030,At least twenty five (25) policy recommendation/ innovation/ capacity building engagements adopting/referring to outputs from Community(ies) of Practice by 2030,global,,,,,,,,,,,,,,,,PLAT-04 - NUTRITION Impact Platform___.xlsx,Function 1 Convene a community of practice (CoP),,5
,OUTCOME,"Capacity built among CGIAR scientists, partners and stakeholders ","Compedium of resources uptake by CGIAR scientists, partners and stakeholders to create impactful outputs and outreach in the areas of nutrition, health and food security",Capacity,,,,,Yes,"At least ten (10) capacity building programs (e.g. workshops, trainings, sponsorships) designed and implemented to communicate knowledge, information and roadmaps to generate impact in areas of nutrition, health and food security.","At least one hundred (100) capacity building programs (e.g. workshops, trainings, sponsorships) designed and implemented to communicate knowledge, information and roadmaps to generate impact in areas of nutrition, health and food security.","At least three hundred (300) capacity building programs (e.g. workshops, trainings, sponsorships) designed and implemented to communicate knowledge, information and roadmaps to generate impact in areas of nutrition, health and food security.",global,,,,,,,,,,,,,,,,PLAT-04 - NUTRITION Impact Platform___.xlsx,Function 2 Deepen capacities of CGIAR and close partners,,5
,OUTCOME,"CGIAR evidence-based innovations and solutions visible within the areas of nutrition, health and food security, supporting and influencing pathways to impact","CGIAR evidence-based innovations and solutions visible within the areas of nutrition, health and food security, supporting and influencing pathways to impact",Uptake of information product,,,,,Yes,,,,global,,,,,,,,,,,,,,,,PLAT-04 - NUTRITION Impact Platform___.xlsx,Function 3 Amplifying CGIAR's external profile and pathways to impacts,,5
,OUTCOME,Robust scientific evidence for informing portfolio development action,"Generate, use and disseminate robust scientific evidence for informing portfolio development action and investments in areas of nutrition, health and food security",Uptake of information product,,,,,Yes,,,,global,,,,,,,,,,,,,,,,PLAT-04 - NUTRITION Impact Platform___.xlsx,Function 4 Advise portfolio-level management and strategy,,5
Work Package 1 Transdisciplinary co-creation of innovations in Agroecological Living Landscapes (ALLs),OUTCOME,1. Engagement and cocreation,"1. FSAs — private sector, policymakers, and female and male small-scale farmers — collaborate with researchers in an international network of Agroecological Living Landscapes (ALLs) that promote integration of research and innovation processes to facilitate co-design and testing of context-specific agroecological innovations and broader learning of the biophysical and socio-economic conditions required for agroecological transitions ",Capacity,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),,"policymaker, government body, private company, small and medium enterprises (SME), non-government organizations (NGO), Farmers’ associations, university, research institution, donor, intergovernmental organization ","change in knowledge, change in attitude, change in skills, change in relationship, change in behavior/practice, Change in policy",Yes,Engagement,Codesign,Testing,country,"India, Kenya, Tunisia, Lao People's Democratic Republic, Peru, Senegal, Zimbabwe, Burkina Faso",,"Number of FSA engaged in the co-creation of agroecological innovations (farmers, private sector companies, researchers, policymakers)",Number of FSA engaged in the co-creation of agroecological innovations,Number,reports,attendance sheets,quarterly,country,,,0,01/04/2022,"3000
 5800","01/02/2024
 01/01/2025","INIT-31 - Transformational Agroecology across Food, Land, and Water systems.xlsx",,,3
Work Package 2 Evidence-based agroecology assessments,OUTCOME,2. Food system actors of Agroecology Living Landscapes use the knowledge gained from science-based assessments to identify and prioritize AE innovations that are sustainable and enhance resilience.,2. Food system actors of Agroecology Living Landscapes use the knowledge gained from science-based assessments to identify and prioritize AE innovations that are sustainable and enhance resilience.,Uptake of information product,International Water Management Institute,,"policymaker, government body, private company, small and medium enterprises (SME), non-government organizations (NGO), Farmers, Farmers’ associations, university, research institution, consumer/public, intergovernmental organization ","change in knowledge, change in attitude, change in behavior/practice, Change in policy",Yes,Engagement,Co-assessment,Use,country,"Kenya, Lao People's Democratic Republic, Tunisia, Zimbabwe, Senegal, India, Burkina Faso, Peru",,Number of uptakes of the science-based assessments by farmer communities to implement AE innovations.,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,,,,country,,,0,01/04/2022,14,01/01/2025,"INIT-31 - Transformational Agroecology across Food, Land, and Water systems.xlsx",,,13
Work Package 2 Evidence-based agroecology assessments,OUTCOME,2. Food system actors of Agroecology Living Landscapes use the knowledge gained from science-based assessments to identify and prioritize AE innovations that are sustainable and enhance resilience.,2. Food system actors of Agroecology Living Landscapes use the knowledge gained from science-based assessments to identify and prioritize AE innovations that are sustainable and enhance resilience.,Uptake of information product,International Water Management Institute,,"policymaker, government body, private company, small and medium enterprises (SME), non-government organizations (NGO), Farmers, Farmers’ associations, university, research institution, consumer/public, intergovernmental organization ","change in knowledge, change in attitude, change in behavior/practice, Change in policy",Yes,Engagement,Co-assessment,Use,country,"Kenya, Lao People's Democratic Republic, Tunisia, Zimbabwe, Senegal, India, Burkina Faso, Peru",,Number of uptakes of science-based assessments by stakeholders for institutional priority setting.,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,,,,country,,,0,01/04/2022,20,31/12/2024,"INIT-31 - Transformational Agroecology across Food, Land, and Water systems.xlsx",,,-1
Work Package 3 Inclusive business models and financing strategies,OUTCOME,"3.1 Investors, private sector, NGOs, and farmers participate equitably in partnerships to co-develop business models, linking agroecological innovations to markets and investment. ","3.1 Investors, private sector, NGOs, and farmers participate equitably in partnerships to co-develop business models, linking agroecological innovations to markets and investment. ",Innovation,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),,"policymaker, government body, private company, small and medium enterprises (SME), non-government organizations (NGO), Farmers, Farmers’ associations, university, research institution","change in relationship, change in behavior/practice",Yes,Engagement,Co-design,Testing,country,"Peru, Tunisia, Lao People's Democratic Republic, Zimbabwe, Kenya, India, Burkina Faso, Senegal",,Number of strategic business partnerships linking agroecological innovations to markets established and functioning. ,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,,,,country,,,0,01/01/2023,7,01/01/2025,"INIT-31 - Transformational Agroecology across Food, Land, and Water systems.xlsx",,,3
Work Package 3 Inclusive business models and financing strategies,OUTCOME,"3.2. Investors, public sector, farmer organizations co-design or adapt financial mechanisms that support agroecological innovations","3.2. Investors, public sector, farmer organizations co-design or adapt financial mechanisms that support agroecological innovations",Innovation,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),,"policymaker, government body, private company, small and medium enterprises (SME), non-government organizations (NGO), Farmers, Farmers’ associations, university, research institution","change in knowledge, change in attitude, change in skills, change in relationship, change in behavior/practice",Yes,Engagement,Co-design,Testing,country,"Tunisia, Burkina Faso, Peru, India, Lao People's Democratic Republic, Kenya, Zimbabwe, Senegal",,"Business models and financial mechanisms that support agroecological innovations co-designed with or adapted by investors, public sector, farmer organizations.","Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Records of activities in ALLs,"Interviews, financial model design documents, workshop minutes ",,country,,,0,01/01/2023,2,01/01/2025,"INIT-31 - Transformational Agroecology across Food, Land, and Water systems.xlsx",,,3
